Initializing AMReX (24.07-16-gdcb9cc0383dc)...
AMReX (24.07-16-gdcb9cc0383dc) initialized
Mean: 100000
Stdev: 25231
No of Run: 100
Number of nodes: 128
Number of boxes: 256
Ranks per node: 4

=== Starting Run 1 ===
105105.4587 , 109074.1682 , 96596.0731 , 145315.5659 , 109369.9577 , 138379.8615 , 125475.0298 , 123211.616 , 67556.80609 , 118707.8893 , 139913.9269 , 66443.80219 , 99576.49172 , 89405.80365 , 105551.7648 , 83939.95689 , 120677.6144 , 86384.57551 , 109694.3001 , 83343.00498 , 125902.914 , 117273.1671 , 108401.4149 , 89490.46632 , 86038.49011 , 108925.4155 , 130993.4138 , 118084.1911 , 133842.0631 , 123967.2479 , 91158.64028 , 109165.3099 , 84943.81785 , 125476.2994 , 56249.41651 , 112328.1197 , 93701.79807 , 111080.6659 , 82365.42947 , 124079.0902 , 106484.1102 , 106312.9531 , 101013.0078 , 127547.037 , 97076.08413 , 68517.7743 , 77752.0897 , 99157.67124 , 65135.8245 , 47668.44078 , 85559.69101 , 86991.58105 , 105248.1782 , 100428.906 , 131038.6497 , 111833.3921 , 100543.0208 , 121579.984 , 101337.0452 , 153536.8879 , 89450.1302 , 118684.3618 , 119768.71 , 91455.62585 , 110906.0817 , 76289.64843 , 83562.57398 , 84311.93299 , 73920.27888 , 137317.7185 , 75875.04488 , 53330.09213 , 146798.8056 , 109154.6733 , 76891.71643 , 110422.2157 , 84852.28387 , 72540.06683 , 51510.098 , 123566.2285 , 74806.61541 , 96092.94757 , 80816.53635 , 99012.60151 , 53367.80496 , 104718.4876 , 80928.89335 , 110329.3682 , 111673.11 , 81009.90576 , 96548.61553 , 88610.19159 , 134615.9561 , 117278.3808 , 89426.96543 , 92361.63912 , 122926.3866 , 92859.4794 , 120130.3285 , 98401.29366 , 134821.5944 , 102657.7751 , 125058.3048 , 68545.47794 , 123980.9092 , 119043.7738 , 109345.8374 , 111493.7048 , 96798.24312 , 107613.3992 , 118513.0417 , 78164.56573 , 93605.99232 , 130192.4574 , 57433.89157 , 91812.63666 , 78145.74778 , 122747.4511 , 135692.0105 , 132831.265 , 133569.076 , 113211.0588 , 37389.75758 , 99070.02028 , 88881.46379 , 102765.9465 , 135070.3793 , 104045.5349 , 135004.4101 , 124839.5307 , 107023.2827 , 129102.2196 , 85032.21812 , 91362.76324 , 85622.8414 , 115530.2977 , 101097.9675 , 140370.147 , 50804.50828 , 85411.27395 , 118021.4574 , 111339.0294 , 116068.532 , 93361.68857 , 114362.8074 , 98891.03605 , 97569.07084 , 98443.51205 , 107095.1757 , 102628.9317 , 73297.0102 , 88322.80837 , 70737.69162 , 96453.95308 , 45255.12412 , 79620.26315 , 77539.68542 , 104204.5086 , 126086.3519 , 134070.4418 , 96414.48731 , 42949.95373 , 100625.8405 , 93656.06746 , 113840.586 , 112408.2656 , 122680.1062 , 81046.17152 , 79087.86542 , 131056.2434 , 112517.6374 , 95345.91409 , 114999.4067 , 110265.2166 , 104568.7998 , 112056.4358 , 98429.21655 , 89337.70695 , 114329.0843 , 84754.40328 , 106648.6737 , 100783.2544 , 67893.60101 , 100147.5526 , 99844.72014 , 60114.59995 , 106370.7577 , 92535.14607 , 80759.96782 , 79425.03353 , 27999.63618 , 127247.155 , 106021.8402 , 124460.9763 , 75536.71517 , 82832.85469 , 74083.40515 , 82969.27866 , 93043.06697 , 115393.1096 , 113228.781 , 102569.7597 , 92084.93403 , 72466.09981 , 111213.1606 , 112471.1621 , 90270.57104 , 143564.7598 , 99711.28514 , 122457.0642 , 78275.39263 , 104535.0345 , 103266.5074 , 77149.0174 , 122381.2818 , 93142.50796 , 81010.6128 , 98590.37394 , 72767.25882 , 80239.99012 , 78394.79835 , 80042.32813 , 104616.0843 , 131125.2089 , 71446.04623 , 120547.5166 , 115917.0154 , 89009.56259 , 138273.8494 , 71194.47877 , 127296.2944 , 162355.6118 , 110294.6983 , 115574.8824 , 124321.1291 , 109986.822 , 90781.74021 , 86058.23273 , 75409.43394 , 121628.4163 , 83176.71062 , 147872.7817 , 104887.7985 , 58167.5459 , 68408.73385 , 109429.6049 , 66235.73228 , 124539.0814 , 57781.15003 , 71771.27269 , 111068.3613 , 108245.3146 , 89368.31829 , 152483.0623 , 89000.52104 , 89962.49127 ,  Scaled Weights: 647378046 , 671822594 , 594966026 , 895044923 , 673644456 , 852325706 , 772840732 , 758899644 , 416103918 , 731159755 , 861774505 , 409248572 , 613323375 , 550678863 , 650126988 , 517012969 , 743291920 , 532070155 , 675642184 , 513336152 , 775476208 , 722322843 , 667678892 , 551200327 , 529938505 , 670906378 , 806830219 , 727318199 , 824375959 , 763553822 , 561475143 , 672383965 , 523196069 , 772848552 , 346458099 , 691864719 , 577139263 , 684181254 , 507314953 , 764242695 , 655869601 , 654815390 , 622171336 , 785602885 , 597922567 , 422022828 , 478899922 , 610743726 , 401192320 , 293605132 , 526989429 , 535808896 , 648257101 , 618573667 , 807108842 , 688817534 , 619276536 , 748849902 , 624167185 , 945682667 , 550951884 , 731014842 , 737693688 , 563304372 , 683105934 , 469892279 , 514688548 , 519304089 , 455298577 , 845783629 , 467338604 , 328477049 , 904180669 , 672318451 , 473600608 , 680125649 , 522632282 , 446797410 , 317267124 , 761083816 , 460757806 , 591867115 , 497774826 , 609850195 , 328709334 , 644994568 , 498466869 , 679553771 , 687830306 , 498965850 , 594673720 , 545778435 , 829142613 , 722354956 , 550809205 , 568884797 , 757142825 , 571951154 , 739921012 , 606084955 , 830409205 , 632301982 , 770273990 , 422193463 , 763637966 , 733228575 , 673495891 , 686725292 , 596211256 , 662825252 , 729959627 , 481440493 , 576549165 , 801896873 , 353753658 , 565503315 , 481324587 , 756040704 , 835770375 , 818150131 , 822694544 , 697303023 , 230295444 , 610203856 , 547449287 , 632968244 , 831941550 , 640849638 , 831535225 , 768926490 , 659190536 , 795181751 , 523740555 , 562732401 , 527378392 , 711587955 , 622694630 , 864584510 , 312921172 , 526075281 , 726931802 , 685772596 , 714903112 , 575044420 , 704397010 , 609101435 , 600959030 , 606344992 , 659633348 , 632124327 , 451459666 , 544008350 , 435696006 , 594090664 , 278740745 , 490406598 , 477591656 , 641828807 , 776606060 , 825782616 , 593847581 , 264542465 , 619786649 , 576857594 , 701180482 , 692358363 , 755625906 , 499189222 , 487127390 , 807217207 , 693032019 , 587265898 , 708318028 , 679158641 , 644072593 , 690191331 , 606256941 , 550259434 , 704189298 , 522029405 , 656883200 , 620756211 , 418178345 , 616840721 , 614975479 , 370264996 , 655171427 , 569953481 , 497426402 , 489204116 , 172458691 , 783755816 , 653022332 , 766594853 , 465254723 , 510193974 , 456303323 , 511034253 , 573081928 , 710742969 , 697412179 , 631759867 , 567180482 , 446341824 , 684997331 , 692745763 , 556005241 , 884261149 , 614153611 , 754252119 , 482123111 , 643864622 , 636051358 , 475185407 , 753785351 , 573694417 , 498970205 , 607249561 , 448196758 , 494223694 , 482858569 , 493006231 , 644363833 , 807641987 , 440058988 , 742490607 , 713969873 , 548238288 , 851672744 , 438509504 , 784058481 , 1000000000 , 679340228 , 711862566 , 765733489 , 677443920 , 559153695 , 530060106 , 464470758 , 749148213 , 512311892 , 910795630 , 646037408 , 358272469 , 421351213 , 674011842 , 407967003 , 767075927 , 355892534 , 442062162 , 684105466 , 666717420 , 550447979 , 939191819 , 548182598 , 554107680 , DM: KnapSackDoIt called...









